Epoca,Erro_Treino,Erro_Validacao
1,0.4539427558173557,0.3855644329938727
2,0.30403836783935173,0.2533916859741322
3,0.18819934318396134,0.20222392473976092
4,0.1196974973009488,0.15835930899243297
5,0.08830887263870506,0.12594614106501636
6,0.06870774533811351,0.11409490682294603
7,0.047117876326367,0.10078441916667669
8,0.039971281637568495,0.1270832582089334
9,0.03193042997892653,0.09780357641007237
10,0.029079105201452078,0.08732353163207532
11,0.025054551082118518,0.0867405007078452
12,0.021263074638005017,0.08429608224817896
13,0.018250614646091328,0.08520376578881152
14,0.01641244050727447,0.08108373794538373
15,0.01633313255438422,0.08145849219411642
16,0.014103287906043005,0.08212776874067496
17,0.012699681392901502,0.08679556610972196
18,0.012940646087894699,0.08073031503125189
19,0.0117272867950143,0.07971438292118158
20,0.011073579353414843,0.07935285986396694
21,0.009390731388840817,0.07751860390397915
22,0.00903960559325923,0.07726486701912537
23,0.008727550715869977,0.07813620023631963
24,0.008609401299710983,0.07640102928336272
25,0.008958393348941007,0.0782203468383446
26,0.008329285555300941,0.0755255818950903
27,0.007589694451444901,0.07432997555352602
28,0.007375212431845343,0.07590180420455432
29,0.007815669217860132,0.07538128871813247
30,0.007368891722785285,0.07444644354861357
31,0.007670668728726885,0.0752930194991257
32,0.006874518866238939,0.07459269799863749
33,0.0070318287009869165,0.07349038476102045
34,0.006401341265008784,0.07365752404766006
35,0.006199378636760428,0.07483947303468423
36,0.006195721774296928,0.07218940200930761
37,0.006029253907566625,0.07212708327976332
38,0.006053950077937141,0.0740802664767623
39,0.006402885268037784,0.07217250965241967
40,0.006044351038501391,0.071607369954516
41,0.006841031634703086,0.07172851019561115
42,0.0057349982094938075,0.07132010929805631
43,0.0061430641318067965,0.07278970633591585
44,0.005561144274690097,0.07159567516502402
45,0.005493244436937996,0.07152873575724786
46,0.005478645732788198,0.07197935875418165
47,0.005434358199287933,0.07211860413796817
48,0.005412532294363843,0.07197891917756952
49,0.005391281683407924,0.07197003213312025
50,0.005361278432488538,0.07217424599572458
51,0.0053489103442136265,0.07183825858302342
52,0.005327346840437243,0.07233919998146807
