Epoca,Erro_Treino,Erro_Validacao
1,0.4536299189369744,0.3773483813721263
2,0.29531263665431495,0.28176467462432864
3,0.18194315680077883,0.18543074438881754
4,0.11798174408628062,0.17477740515796786
5,0.09012285150294458,0.1391369920364005
6,0.0691013620335034,0.11921799773192789
7,0.04801959629337597,0.11034729106816729
8,0.04163677299116023,0.11656867239798765
9,0.032572653447107906,0.10263965753572506
10,0.030328147389891796,0.09281942306678287
11,0.026179044238250872,0.09172614267825092
12,0.02186323551890177,0.089478803797215
13,0.020220746936979603,0.09242200791466681
14,0.019103916301746942,0.08459615695807773
15,0.01686565851983403,0.08383770832765275
16,0.01678098757883087,0.08573934684779282
17,0.014712514745143852,0.0868899553081844
18,0.01529080351646833,0.08462587948180639
19,0.013691930336408652,0.08401483612744545
20,0.014452456588372598,0.0808069442272662
21,0.011728077327419293,0.07947116502384095
22,0.011084544054346421,0.08012068668719569
23,0.010782928234070234,0.08078586696947176
24,0.010490801614699754,0.08097050170102145
25,0.010626112137226038,0.08545115985171714
26,0.01064803484062295,0.078869819226745
27,0.009774240725653773,0.07779790499809203
28,0.00941225036951304,0.07749686839970343
29,0.01015569868822608,0.07837965151879946
30,0.00901197211212828,0.078059396938507
31,0.00882386397014472,0.07875144671031883
32,0.00814547383064759,0.0787919984036886
33,0.008645561113648762,0.07792643754923868
34,0.008089319430967279,0.07742959962548474
35,0.008126313698843961,0.07809680043001406
36,0.00812823841797716,0.07876945600684546
37,0.008195370316346326,0.07813973261226129
38,0.008070797091505376,0.07919322059536843
39,0.00813392365096865,0.0773352818916521
40,0.008175217049756945,0.07672427099181406
41,0.008877120993834505,0.07790094113442628
42,0.007184447174631151,0.077229286114839
43,0.007167353499726778,0.07789749313325689
44,0.006873521570790985,0.07679566739255318
45,0.006805291777895609,0.07770555279975165
46,0.006757225450223451,0.07829459447437193
47,0.006735418840491506,0.07789082133666919
48,0.00635655143386912,0.07810301705397261
49,0.006629168910645109,0.07777896842236617
50,0.006534659182320242,0.077417230151776
