Epoca,Erro_Treino
1,0.1146299360392637
2,0.11314683248846769
3,0.11164372143376244
4,0.11009984214495627
5,0.10906491055857745
6,0.10766498655114783
7,0.10665735323484667
8,0.10556434992367476
9,0.10454551112616298
10,0.10348762583857522
11,0.10240462799940267
12,0.101317766937258
13,0.10047167780570437
14,0.09941377197183744
15,0.09846710572778024
16,0.09742350360574915
17,0.096494495123797
18,0.09554407012126107
19,0.09457358757180488
20,0.09357823681944342
21,0.09266813229634824
22,0.09159387324651498
23,0.09072998209390024
24,0.08973096086052951
25,0.08894388423024305
26,0.08788950284440386
27,0.08706261872728138
28,0.0860786098155682
29,0.08531970627355102
30,0.08442249101946628
31,0.08350779081952392
32,0.08266272828704227
33,0.08179944443990662
34,0.08084563121588252
35,0.08012978073139083
36,0.07923532468799843
37,0.07840712797089126
38,0.07752696696845725
39,0.07678766173598858
40,0.07601570863102206
41,0.07518689889861722
42,0.07438219537101454
43,0.07352946046081907
44,0.0727542730534099
45,0.07197744873329784
46,0.0712825168492419
47,0.07045140911896636
48,0.06977443816593142
49,0.06898122367979578
50,0.06824920080880816
51,0.06744902319916665
52,0.06668783089743179
53,0.0659720587032733
54,0.0651784022380397
55,0.06445649062071859
56,0.06361455698334748
57,0.06286623053158338
58,0.06211988892600238
59,0.06144799639853857
60,0.06069093652106944
61,0.0598585964230571
62,0.05918389048805773
63,0.05839203088389134
64,0.057648137429664015
65,0.05688023718968179
66,0.05607651096456001
67,0.055342088342331154
68,0.05456194874589745
69,0.053852310812796095
70,0.05309295786395379
71,0.052329647020811866
72,0.051626204571798444
73,0.050816887544160624
74,0.05011342457482399
75,0.049384995075887984
76,0.04860869164338028
77,0.0479268108384048
78,0.04720758828654609
79,0.0464919056325652
80,0.04576137951835623
81,0.04505306793718188
82,0.04438361793051061
83,0.04367418324914504
84,0.04297553254521767
85,0.04228333145168163
86,0.04164743156437474
87,0.04097712980165815
88,0.040333896719285695
89,0.039696772132170065
90,0.03905399879778915
91,0.03842019965906792
92,0.03780158113490861
93,0.037202956611039825
94,0.036569448050912584
95,0.03597869476930495
96,0.035403276149710235
97,0.03483211647338541
98,0.034277683467172984
99,0.033743014932987835
100,0.03316842473899618
101,0.03264708251120238
102,0.032111893559747265
103,0.03160060923647
104,0.031096069495063078
105,0.030600682602297657
106,0.030122131822589885
107,0.02963587443809762
108,0.02915738380074853
109,0.028694131818643522
110,0.02823902095376193
111,0.02780597409983532
112,0.027365861932273194
113,0.02691880772334253
114,0.026501282669144283
115,0.026104481892109982
116,0.025684799956472493
117,0.02529131788961079
118,0.02490403036880754
119,0.024534004159271698
120,0.0241575616209159
121,0.0237927091334581
122,0.023423744102553403
123,0.023074484854040678
124,0.022738806605356
125,0.022391372289824185
126,0.022065523905684725
127,0.02173790050171627
128,0.02142564888168674
129,0.021114889431677834
130,0.02080341466537601
131,0.02050216782055445
132,0.020215586667796784
133,0.019923501897058903
134,0.019643599774257767
135,0.01936670189737531
136,0.01909613022032654
137,0.018836809562873022
138,0.0185770306651257
139,0.01832325040593189
140,0.018068499759501568
141,0.01782479368798806
142,0.017585429293757854
143,0.01735554635646578
144,0.017120344938106345
145,0.01689444307838889
146,0.01667822777512589
147,0.016459768998230873
148,0.016247224333721774
149,0.016038913848757705
150,0.015832176515672487
151,0.015634425318698353
152,0.015439389843698609
153,0.01524433098403264
154,0.01505365999902908
155,0.014870544819979702
156,0.014686620307791196
157,0.014509070493588476
158,0.014332893135813232
159,0.014161983427574274
160,0.013992971045164651
161,0.013827049355306733
162,0.013666519969574579
163,0.013505652224849455
164,0.013348636440706423
165,0.013196756335273325
166,0.013044902366530506
167,0.012899208913173855
168,0.01275107915819636
169,0.012607693424024066
170,0.012467969712641604
171,0.01233022196824002
172,0.012194551567619064
173,0.012061716930626076
174,0.011931097956256239
175,0.01180460166141466
176,0.011676653555953771
177,0.011552447062373055
178,0.011430484350963131
179,0.011312734927395639
180,0.011193811979970174
181,0.011078921251893817
182,0.010963193302408658
183,0.010852264620148688
184,0.010743311396270739
185,0.010634134650410009
186,0.010528414440723385
187,0.010422957283939957
188,0.010320022694483785
189,0.010218281782342395
190,0.0101185390854308
191,0.010021145494785376
192,0.009923993237459326
193,0.00982981582842778
194,0.00973593360932228
195,0.00964381724530909
196,0.009554413205011733
197,0.009464332028034974
198,0.009376713890217563
199,0.009290492334051208
200,0.0092051320654725
201,0.00912244244042242
202,0.009038994451277668
203,0.00895822983087392
204,0.008878229787155547
