Epoca,Iteracao,Erro_Quadratico
21,4,0.027335979671099107
22,1,0.025776643818488036
22,2,0.03366054296316985
22,3,0.023205860964723
22,4,0.28373244523967905
23,1,0.025406845073273267
23,2,0.03448702563442786
23,3,0.2753937178056392
23,4,0.02763233986226058
24,1,0.03671809362953318
24,2,0.02332434351793514
24,3,0.023485740271805187
24,4,0.27539566602284454
25,1,0.024519636879828437
25,2,0.2608433418519541
25,3,0.02950040645613403
25,4,0.040912151733055555
26,1,0.02378459413759595
26,2,0.036314186527212494
26,3,0.023531034373133756
26,4,0.26792819633967324
27,1,0.038714248849130134
27,2,0.02187477956476658
27,3,0.25968455505667815
27,4,0.027976891438550623
28,1,0.022925062212895454
28,2,0.025142178794549726
28,3,0.03635600865897862
28,4,0.259891189595849
29,1,0.022546034264645066
29,2,0.24515552293654191
29,3,0.04566531459931333
29,4,0.027911953293703794
30,1,0.23889182504024398
30,2,0.04768998927299883
30,3,0.028909981336227724
30,4,0.022198168428394553
31,1,0.04038825322123745
31,2,0.024459428913296007
31,3,0.24743615593931045
31,4,0.021747325204251745
32,1,0.23275228492058073
32,2,0.03058128077786008
32,3,0.022698453597065682
32,4,0.04461889385266259
33,1,0.041061913777326445
33,2,0.23739690458956686
33,3,0.021593970435779652
33,4,0.02714498895695356
34,1,0.025588358675539404
34,2,0.03996754432299123
34,3,0.016966485222411704
34,4,0.24086013664258774
35,1,0.02580385689366658
35,2,0.22719145765442703
35,3,0.04808873521889306
35,4,0.01943507315857668
36,1,0.025637963606529403
36,2,0.04095761379387063
36,3,0.2313195051220412
36,4,0.019026216229552494
37,1,0.04311742449940189
37,2,0.02412795948756146
37,3,0.22776157365425448
37,4,0.01862155424234722
38,1,0.025742266785921734
38,2,0.016757403854533993
38,3,0.04074541699998178
38,4,0.2268627802333915
39,1,0.2095249994573158
39,2,0.030206673740574026
39,3,0.01918735130086331
39,4,0.048231622445201176
40,1,0.02539901529982429
40,2,0.01578298336197647
40,3,0.21440315948354743
40,4,0.04847767637873999
41,1,0.2050845955112753
41,2,0.029538221101999423
41,3,0.017906058481191523
41,4,0.04821872050000264
42,1,0.20331400309911346
42,2,0.018321613417303796
